FAQID,Question,Answer,Chat Scripts,Email Scripts,Voice Scripts,Gurucool Link,PCIR,Freshdesk Properties,TAT
2002744,Desk,do you mean 2002744: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-44,do you mean 2002744: Description: do you mean 2002744: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-44,,,,,,
2002745,Notebook,do you mean 2002745: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-45,do you mean 2002745: Description: do you mean 2002745: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-45,,,,,,
2002746,Scanner,do you mean 2002746: Description: GL Account details for Scanner. Refer SAP master data for valuation class and account determination.: Here is the code: 20-46,do you mean 2002746: Description: do you mean 2002746: Description: GL Account details for Scanner. Refer SAP master data for valuation class and account determination.: Here is the code: 20-46,,,,,,
2002747,Server,do you mean 2002747: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-47,do you mean 2002747: Description: do you mean 2002747: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-47,,,,,,
2002748,Printer,do you mean 2002748: Description: GL Account details for Printer. Refer SAP master data for valuation class and account determination.: Here is the code: 20-48,do you mean 2002748: Description: do you mean 2002748: Description: GL Account details for Printer. Refer SAP master data for valuation class and account determination.: Here is the code: 20-48,,,,,,
2002749,Keyboard,do you mean 2002749: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-49,do you mean 2002749: Description: do you mean 2002749: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-49,,,,,,
2002750,Server,do you mean 2002750: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-50,do you mean 2002750: Description: do you mean 2002750: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-50,,,,,,
2002751,Headset,do you mean 2002751: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-51,do you mean 2002751: Description: do you mean 2002751: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-51,,,,,,
2002752,USB Drive,do you mean 2002752: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-52,do you mean 2002752: Description: do you mean 2002752: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-52,,,,,,
2002753,Desk,do you mean 2002753: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-53,do you mean 2002753: Description: do you mean 2002753: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-53,,,,,,
2002754,USB Drive,do you mean 2002754: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-54,do you mean 2002754: Description: do you mean 2002754: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-54,,,,,,
2002755,Notebook,do you mean 2002755: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-55,do you mean 2002755: Description: do you mean 2002755: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-55,,,,,,
2002756,Router,do you mean 2002756: Description: GL Account details for Router. Refer SAP master data for valuation class and account determination.: Here is the code: 20-56,do you mean 2002756: Description: do you mean 2002756: Description: GL Account details for Router. Refer SAP master data for valuation class and account determination.: Here is the code: 20-56,,,,,,
2002757,Notebook,do you mean 2002757: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-57,do you mean 2002757: Description: do you mean 2002757: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-57,,,,,,
2002758,Router,do you mean 2002758: Description: GL Account details for Router. Refer SAP master data for valuation class and account determination.: Here is the code: 20-58,do you mean 2002758: Description: do you mean 2002758: Description: GL Account details for Router. Refer SAP master data for valuation class and account determination.: Here is the code: 20-58,,,,,,
2002759,Cable,do you mean 2002759: Description: GL Account details for Cable. Refer SAP master data for valuation class and account determination.: Here is the code: 20-59,do you mean 2002759: Description: do you mean 2002759: Description: GL Account details for Cable. Refer SAP master data for valuation class and account determination.: Here is the code: 20-59,,,,,,
2002760,Mouse,do you mean 2002760: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-60,do you mean 2002760: Description: do you mean 2002760: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-60,,,,,,
2002761,Mouse,do you mean 2002761: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-61,do you mean 2002761: Description: do you mean 2002761: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-61,,,,,,
2002762,Mouse,do you mean 2002762: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-62,do you mean 2002762: Description: do you mean 2002762: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-62,,,,,,
2002763,Notebook,do you mean 2002763: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-63,do you mean 2002763: Description: do you mean 2002763: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-63,,,,,,
2002764,Monitor,do you mean 2002764: Description: GL Account details for Monitor. Refer SAP master data for valuation class and account determination.: Here is the code: 20-64,do you mean 2002764: Description: do you mean 2002764: Description: GL Account details for Monitor. Refer SAP master data for valuation class and account determination.: Here is the code: 20-64,,,,,,
2002765,Printer,do you mean 2002765: Description: GL Account details for Printer. Refer SAP master data for valuation class and account determination.: Here is the code: 20-65,do you mean 2002765: Description: do you mean 2002765: Description: GL Account details for Printer. Refer SAP master data for valuation class and account determination.: Here is the code: 20-65,,,,,,
2002766,Headset,do you mean 2002766: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-66,do you mean 2002766: Description: do you mean 2002766: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-66,,,,,,
2002767,Mouse,do you mean 2002767: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-67,do you mean 2002767: Description: do you mean 2002767: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-67,,,,,,
2002768,Keyboard,do you mean 2002768: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-68,do you mean 2002768: Description: do you mean 2002768: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-68,,,,,,
2002769,Notebook,do you mean 2002769: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-69,do you mean 2002769: Description: do you mean 2002769: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-69,,,,,,
2002770,USB Drive,do you mean 2002770: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-70,do you mean 2002770: Description: do you mean 2002770: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-70,,,,,,
2002771,Keyboard,do you mean 2002771: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-71,do you mean 2002771: Description: do you mean 2002771: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-71,,,,,,
2002772,USB Drive,do you mean 2002772: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-72,do you mean 2002772: Description: do you mean 2002772: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-72,,,,,,
2002773,Keyboard,do you mean 2002773: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-73,do you mean 2002773: Description: do you mean 2002773: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-73,,,,,,
2002774,Adapter,do you mean 2002774: Description: GL Account details for Adapter. Refer SAP master data for valuation class and account determination.: Here is the code: 20-74,do you mean 2002774: Description: do you mean 2002774: Description: GL Account details for Adapter. Refer SAP master data for valuation class and account determination.: Here is the code: 20-74,,,,,,
2002775,Headset,do you mean 2002775: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-75,do you mean 2002775: Description: do you mean 2002775: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-75,,,,,,
2002776,Notebook,do you mean 2002776: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-76,do you mean 2002776: Description: do you mean 2002776: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-76,,,,,,
2002777,Chair,do you mean 2002777: Description: GL Account details for Chair. Refer SAP master data for valuation class and account determination.: Here is the code: 20-77,do you mean 2002777: Description: do you mean 2002777: Description: GL Account details for Chair. Refer SAP master data for valuation class and account determination.: Here is the code: 20-77,,,,,,
2002778,Desk,do you mean 2002778: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-78,do you mean 2002778: Description: do you mean 2002778: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-78,,,,,,
2002779,Keyboard,do you mean 2002779: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-79,do you mean 2002779: Description: do you mean 2002779: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-79,,,,,,
2002780,Marker,do you mean 2002780: Description: GL Account details for Marker. Refer SAP master data for valuation class and account determination.: Here is the code: 20-80,do you mean 2002780: Description: do you mean 2002780: Description: GL Account details for Marker. Refer SAP master data for valuation class and account determination.: Here is the code: 20-80,,,,,,
2002781,USB Drive,do you mean 2002781: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-81,do you mean 2002781: Description: do you mean 2002781: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-81,,,,,,
2002782,Server,do you mean 2002782: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-82,do you mean 2002782: Description: do you mean 2002782: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-82,,,,,,
2002783,Desk,do you mean 2002783: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-83,do you mean 2002783: Description: do you mean 2002783: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-83,,,,,,
2002784,Mouse,do you mean 2002784: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-84,do you mean 2002784: Description: do you mean 2002784: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-84,,,,,,
2002785,Marker,do you mean 2002785: Description: GL Account details for Marker. Refer SAP master data for valuation class and account determination.: Here is the code: 20-85,do you mean 2002785: Description: do you mean 2002785: Description: GL Account details for Marker. Refer SAP master data for valuation class and account determination.: Here is the code: 20-85,,,,,,
2002786,Mouse,do you mean 2002786: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-86,do you mean 2002786: Description: do you mean 2002786: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-86,,,,,,
2002787,Chair,do you mean 2002787: Description: GL Account details for Chair. Refer SAP master data for valuation class and account determination.: Here is the code: 20-87,do you mean 2002787: Description: do you mean 2002787: Description: GL Account details for Chair. Refer SAP master data for valuation class and account determination.: Here is the code: 20-87,,,,,,
2002788,Desk,do you mean 2002788: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-88,do you mean 2002788: Description: do you mean 2002788: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-88,,,,,,
2002789,Marker,do you mean 2002789: Description: GL Account details for Marker. Refer SAP master data for valuation class and account determination.: Here is the code: 20-89,do you mean 2002789: Description: do you mean 2002789: Description: GL Account details for Marker. Refer SAP master data for valuation class and account determination.: Here is the code: 20-89,,,,,,
2002790,Adapter,do you mean 2002790: Description: GL Account details for Adapter. Refer SAP master data for valuation class and account determination.: Here is the code: 20-90,do you mean 2002790: Description: do you mean 2002790: Description: GL Account details for Adapter. Refer SAP master data for valuation class and account determination.: Here is the code: 20-90,,,,,,
2002791,USB Drive,do you mean 2002791: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-91,do you mean 2002791: Description: do you mean 2002791: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-91,,,,,,
2002792,Marker,do you mean 2002792: Description: GL Account details for Marker. Refer SAP master data for valuation class and account determination.: Here is the code: 20-92,do you mean 2002792: Description: do you mean 2002792: Description: GL Account details for Marker. Refer SAP master data for valuation class and account determination.: Here is the code: 20-92,,,,,,
2002793,USB Drive,do you mean 2002793: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-93,do you mean 2002793: Description: do you mean 2002793: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-93,,,,,,
2002794,Printer,do you mean 2002794: Description: GL Account details for Printer. Refer SAP master data for valuation class and account determination.: Here is the code: 20-94,do you mean 2002794: Description: do you mean 2002794: Description: GL Account details for Printer. Refer SAP master data for valuation class and account determination.: Here is the code: 20-94,,,,,,
2002795,Desk,do you mean 2002795: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-95,do you mean 2002795: Description: do you mean 2002795: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-95,,,,,,
2002796,Printer,do you mean 2002796: Description: GL Account details for Printer. Refer SAP master data for valuation class and account determination.: Here is the code: 20-96,do you mean 2002796: Description: do you mean 2002796: Description: GL Account details for Printer. Refer SAP master data for valuation class and account determination.: Here is the code: 20-96,,,,,,
2002797,Server,do you mean 2002797: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-97,do you mean 2002797: Description: do you mean 2002797: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-97,,,,,,
2002798,Scanner,do you mean 2002798: Description: GL Account details for Scanner. Refer SAP master data for valuation class and account determination.: Here is the code: 20-98,do you mean 2002798: Description: do you mean 2002798: Description: GL Account details for Scanner. Refer SAP master data for valuation class and account determination.: Here is the code: 20-98,,,,,,
2002799,Desk,do you mean 2002799: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-99,do you mean 2002799: Description: do you mean 2002799: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-99,,,,,,
2002800,Headset,do you mean 2002800: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-00,do you mean 2002800: Description: do you mean 2002800: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-00,,,,,,
2002801,Desk,do you mean 2002801: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-01,do you mean 2002801: Description: do you mean 2002801: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-01,,,,,,
2002802,Desk,do you mean 2002802: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-02,do you mean 2002802: Description: do you mean 2002802: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-02,,,,,,
2002803,Adapter,do you mean 2002803: Description: GL Account details for Adapter. Refer SAP master data for valuation class and account determination.: Here is the code: 20-03,do you mean 2002803: Description: do you mean 2002803: Description: GL Account details for Adapter. Refer SAP master data for valuation class and account determination.: Here is the code: 20-03,,,,,,
2002804,Adapter,do you mean 2002804: Description: GL Account details for Adapter. Refer SAP master data for valuation class and account determination.: Here is the code: 20-04,do you mean 2002804: Description: do you mean 2002804: Description: GL Account details for Adapter. Refer SAP master data for valuation class and account determination.: Here is the code: 20-04,,,,,,
2002805,Keyboard,do you mean 2002805: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-05,do you mean 2002805: Description: do you mean 2002805: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-05,,,,,,
2002806,Adapter,do you mean 2002806: Description: GL Account details for Adapter. Refer SAP master data for valuation class and account determination.: Here is the code: 20-06,do you mean 2002806: Description: do you mean 2002806: Description: GL Account details for Adapter. Refer SAP master data for valuation class and account determination.: Here is the code: 20-06,,,,,,
2002807,Keyboard,do you mean 2002807: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-07,do you mean 2002807: Description: do you mean 2002807: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-07,,,,,,
2002808,USB Drive,do you mean 2002808: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-08,do you mean 2002808: Description: do you mean 2002808: Description: GL Account details for USB Drive. Refer SAP master data for valuation class and account determination.: Here is the code: 20-08,,,,,,
2002809,Printer,do you mean 2002809: Description: GL Account details for Printer. Refer SAP master data for valuation class and account determination.: Here is the code: 20-09,do you mean 2002809: Description: do you mean 2002809: Description: GL Account details for Printer. Refer SAP master data for valuation class and account determination.: Here is the code: 20-09,,,,,,
2002810,Headset,do you mean 2002810: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-10,do you mean 2002810: Description: do you mean 2002810: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-10,,,,,,
2002811,Adapter,do you mean 2002811: Description: GL Account details for Adapter. Refer SAP master data for valuation class and account determination.: Here is the code: 20-11,do you mean 2002811: Description: do you mean 2002811: Description: GL Account details for Adapter. Refer SAP master data for valuation class and account determination.: Here is the code: 20-11,,,,,,
2002812,Desk,do you mean 2002812: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-12,do you mean 2002812: Description: do you mean 2002812: Description: GL Account details for Desk. Refer SAP master data for valuation class and account determination.: Here is the code: 20-12,,,,,,
2002813,Mouse,do you mean 2002813: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-13,do you mean 2002813: Description: do you mean 2002813: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-13,,,,,,
2002814,Adapter,do you mean 2002814: Description: GL Account details for Adapter. Refer SAP master data for valuation class and account determination.: Here is the code: 20-14,do you mean 2002814: Description: do you mean 2002814: Description: GL Account details for Adapter. Refer SAP master data for valuation class and account determination.: Here is the code: 20-14,,,,,,
2002815,Printer,do you mean 2002815: Description: GL Account details for Printer. Refer SAP master data for valuation class and account determination.: Here is the code: 20-15,do you mean 2002815: Description: do you mean 2002815: Description: GL Account details for Printer. Refer SAP master data for valuation class and account determination.: Here is the code: 20-15,,,,,,
2002816,Cable,do you mean 2002816: Description: GL Account details for Cable. Refer SAP master data for valuation class and account determination.: Here is the code: 20-16,do you mean 2002816: Description: do you mean 2002816: Description: GL Account details for Cable. Refer SAP master data for valuation class and account determination.: Here is the code: 20-16,,,,,,
2002817,Server,do you mean 2002817: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-17,do you mean 2002817: Description: do you mean 2002817: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-17,,,,,,
2002818,Keyboard,do you mean 2002818: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-18,do you mean 2002818: Description: do you mean 2002818: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-18,,,,,,
2002819,Keyboard,do you mean 2002819: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-19,do you mean 2002819: Description: do you mean 2002819: Description: GL Account details for Keyboard. Refer SAP master data for valuation class and account determination.: Here is the code: 20-19,,,,,,